   TIMEXXX       BFETEMP        SX            SY           SEQV         EPELX        EPELY        EPELZ       EPPLX       EPPLY        EPPLZ        EPPLEQV      NLEPEQ       NLPLWK  
  0.10000E+02  0.27300E+03  0.11022E+03  0.69766E-02  0.11021E+03  0.92771E-03 -0.31540E-03 -0.31540E-03  0.71789E-04 -0.35895E-04 -0.35895E-04  0.71789E-04  0.71789E-04  0.77126E-02
  0.20000E+02  0.27300E+03  0.13381E+03  0.16711E-03  0.13381E+03  0.11263E-02 -0.38295E-03 -0.38295E-03  0.87168E-03 -0.43584E-03 -0.43584E-03  0.87168E-03  0.87168E-03  0.97348E-01
  0.30000E+02  0.27300E+03  0.14528E+03  0.96446E-02  0.14527E+03  0.12228E-02 -0.41572E-03 -0.41572E-03  0.17727E-02 -0.88635E-03 -0.88635E-03  0.17727E-02  0.17727E-02  0.21102E+00
  0.40000E+02  0.27300E+03  0.14997E+03  0.52471E-02  0.14996E+03  0.12623E-02 -0.42917E-03 -0.42917E-03  0.27297E-02 -0.13649E-02 -0.13649E-02  0.27297E-02  0.27297E-02  0.34172E+00
  0.50000E+02  0.27300E+03  0.15465E+03 -0.45460E-03  0.15465E+03  0.13018E-02 -0.44261E-03 -0.44261E-03  0.36858E-02 -0.18429E-02 -0.18429E-02  0.36858E-02  0.36858E-02  0.47228E+00
  0.60000E+02  0.27300E+03  0.15934E+03 -0.47129E-03  0.15934E+03  0.13412E-02 -0.45602E-03 -0.45602E-03  0.46408E-02 -0.23204E-02 -0.23204E-02  0.46408E-02  0.46408E-02  0.60272E+00
  0.70000E+02  0.27300E+03  0.16099E+03  0.20838E-02  0.16099E+03  0.13552E-02 -0.46075E-03 -0.46075E-03  0.56205E-02 -0.28102E-02 -0.28102E-02  0.56205E-02  0.56205E-02  0.75220E+00
  0.80000E+02  0.27300E+03  0.16099E+03  0.93988E-03  0.16099E+03  0.13552E-02 -0.46075E-03 -0.46075E-03  0.66130E-02 -0.33065E-02 -0.33065E-02  0.66130E-02  0.66130E-02  0.91199E+00
  0.90000E+02  0.27300E+03  0.16099E+03 -0.46139E-03  0.16099E+03  0.13552E-02 -0.46075E-03 -0.46075E-03  0.76046E-02 -0.38023E-02 -0.38023E-02  0.76046E-02  0.76046E-02  0.10716E+01
  0.10000E+03  0.27300E+03  0.16099E+03 -0.46466E-03  0.16099E+03  0.13552E-02 -0.46075E-03 -0.46075E-03  0.85952E-02 -0.42976E-02 -0.42976E-02  0.85952E-02  0.85952E-02  0.12311E+01
  0.11000E+03  0.27300E+03  0.43303E+02 -0.14314E-03  0.43303E+02  0.36451E-03 -0.12393E-03 -0.12393E-03  0.85952E-02 -0.42976E-02 -0.42976E-02  0.85952E-02  0.85952E-02  0.12311E+01
  0.12000E+03  0.27300E+03 -0.58936E+02 -0.13541E-01  0.58923E+02 -0.49602E-03  0.16860E-03  0.16860E-03  0.84642E-02 -0.42321E-02 -0.42321E-02  0.84642E-02  0.87263E-02  0.12452E+01
  0.13000E+03  0.27300E+03 -0.88744E+02 -0.65008E-01  0.88679E+02 -0.74663E-03  0.25362E-03  0.25362E-03  0.77222E-02 -0.38611E-02 -0.38611E-02  0.77222E-02  0.94682E-02  0.13248E+01
  0.14000E+03  0.27300E+03 -0.10615E+03 -0.11174E-01  0.10614E+03 -0.89350E-03  0.30375E-03  0.30375E-03  0.68756E-02 -0.34378E-02 -0.34378E-02  0.68756E-02  0.10315E-01  0.14230E+01
  0.15000E+03  0.27300E+03 -0.12330E+03 -0.60056E-03  0.12330E+03 -0.10379E-02  0.35288E-03  0.35288E-03  0.60254E-02 -0.30127E-02 -0.30127E-02  0.60254E-02  0.11165E-01  0.15218E+01
  0.16000E+03  0.27300E+03 -0.12939E+03 -0.98147E-02  0.12938E+03 -0.10891E-02  0.37027E-03  0.37027E-03  0.50811E-02 -0.25406E-02 -0.25406E-02  0.50811E-02  0.12109E-01  0.16489E+01
