station_id	datetime_utc	sa	ra
1320000004	2013-01-23 13:50:00	28	0
1140000007	2013-01-23 13:50:00	48	-888
1180000024	2013-01-23 13:50:00	35	0
1320000001	2013-01-23 13:50:00	46	0
1080000028	2013-01-23 13:50:00	78	0
1270000006	2013-01-23 13:50:00	36	-888
1020000004	2013-01-23 13:50:00	18	0
1260000003	2013-01-23 13:50:00	47	0
1150000009	2013-01-23 13:50:00	39	0
1320000003	2013-01-23 13:50:00	42	0
1270000008	2013-01-23 13:50:00	33	-888
1070000004	2013-01-23 13:50:00	-999	-888
1220000017	2013-01-23 13:50:00	40	0
1220000007	2013-01-23 13:50:00	46	0
1410000001	2013-01-23 13:50:00	27	0
1020000001	2013-01-23 13:50:00	13	0
1460000005	2013-01-23 13:50:00	33	0
1170000010	2013-01-23 13:50:00	43	0
1080000038	2013-01-23 13:50:00	70	0
1080000001	2013-01-23 13:50:00	77	-888
1180000002	2013-01-23 13:50:00	73	0
1220000013	2013-01-23 13:50:00	38	0
1330000003	2013-01-23 13:50:00	38	0
1080000011	2013-01-23 13:50:00	82	-888
1080000036	2013-01-23 13:50:00	64	-888
1080000019	2013-01-23 13:50:00	86	-888
1070000026	2013-01-23 13:50:00	-999	-888
1180000006	2013-01-23 13:50:00	76	0
1140000006	2013-01-23 13:50:00	44	1
1020000003	2013-01-23 13:50:00	17	0
1140000005	2013-01-23 13:50:00	51	-888
1070000003	2013-01-23 13:50:00	1415	-888
1080000012	2013-01-23 13:50:00	108	-888
1320000008	2013-01-23 13:50:00	34	-888
1170000008	2013-01-23 13:50:00	47	0
1080000006	2013-01-23 13:50:00	77	-888
1270000010	2013-01-23 13:50:00	42	-888
1080000015	2013-01-23 13:50:00	82	-888
1220000015	2013-01-23 13:50:00	37	0
1410000003	2013-01-23 13:50:00	30	-888
1020000005	2013-01-23 13:50:00	18	0
1080000030	2013-01-23 13:50:00	56	-888
1080000013	2013-01-23 13:50:00	74	-888
1040000005	2013-01-23 13:50:00	25	0
1410000009	2013-01-23 13:50:00	30	-888
1020000006	2013-01-23 13:50:00	16	0
1070000023	2013-01-23 13:50:00	-999	-888
1080000007	2013-01-23 13:50:00	80	-888
1220000014	2013-01-23 13:50:00	38	0
1020000025	2013-01-23 13:50:00	21	-888
1070000010	2013-01-23 13:50:00	1034	-888
1270000015	2013-01-23 13:50:00	52	-888
1220000003	2013-01-23 13:50:00	46	0
1080000039	2013-01-23 13:50:00	68	-888
1420000001	2013-01-23 13:50:00	23	0
1070000020	2013-01-23 13:50:00	220	-888
1260000004	2013-01-23 13:50:00	32	0
1020000021	2013-01-23 13:50:00	16	-888
1270000005	2013-01-23 13:50:00	48	-888
1010000002	2013-01-23 13:50:00	23	0
1460000002	2013-01-23 13:50:00	35	0
1460000007	2013-01-23 13:50:00	32	0
1080000020	2013-01-23 13:50:00	69	-888
1260000001	2013-01-23 13:50:00	30	0
1080000031	2013-01-23 13:50:00	51	0
1270000001	2013-01-23 13:50:00	41	0
1180000001	2013-01-23 13:50:00	58	0
1180000004	2013-01-23 13:50:00	59	0
1070000008	2013-01-23 13:50:00	-999	-888
1380000033	2013-01-23 13:50:00	12	-888
1070000025	2013-01-23 13:50:00	1787	-888
1010000008	2013-01-23 13:50:00	15	0
1270000014	2013-01-23 13:50:00	48	-888
1150000001	2013-01-23 13:50:00	42	0
1150000008	2013-01-23 13:50:00	37	0
1080000016	2013-01-23 13:50:00	88	-888
1070000012	2013-01-23 13:50:00	730	-888
1170000009	2013-01-23 13:50:00	40	0
1070000002	2013-01-23 13:50:00	-999	-888
1010000009	2013-01-23 13:50:00	15	0
1020000002	2013-01-23 13:50:00	15	0
1070000001	2013-01-23 13:50:00	872	-888
1220000001	2013-01-23 13:50:00	41	0
1080000029	2013-01-23 13:50:00	53	-888
1460000003	2013-01-23 13:50:00	28	0
1040000003	2013-01-23 13:50:00	-999	-999
1320000024	2013-01-23 13:50:00	42	-888
1080000003	2013-01-23 13:50:00	71	-888
1180000012	2013-01-23 13:50:00	44	0
1080000027	2013-01-23 13:50:00	56	-888
1380000003	2013-01-23 13:50:00	15	-888
1020000010	2013-01-23 13:50:00	16	0
1220000002	2013-01-23 13:50:00	54	0
1460000004	2013-01-23 13:50:00	33	0
1040000004	2013-01-23 13:50:00	-999	-999
1080000010	2013-01-23 13:50:00	94	-888
1320000023	2013-01-23 13:50:00	37	-888
1020000026	2013-01-23 13:50:00	18	0
1080000014	2013-01-23 13:50:00	66	-888
1070000022	2013-01-23 13:50:00	1280	-888
1150000007	2013-01-23 13:50:00	37	0
1080000022	2013-01-23 13:50:00	67	-888
1220000006	2013-01-23 13:50:00	40	0
1070000013	2013-01-23 13:50:00	299	-888
1380000034	2013-01-23 13:50:00	23	-888
1180000025	2013-01-23 13:50:00	27	0
1070000011	2013-01-23 13:50:00	-999	-888
1180000003	2013-01-23 13:50:00	67	0
1080000002	2013-01-23 13:50:00	76	-888
1020000023	2013-01-23 13:50:00	15	-888
1070000018	2013-01-23 13:50:00	4202	-888
1080000004	2013-01-23 13:50:00	60	-888
1220000008	2013-01-23 13:50:00	42	0
1380000032	2013-01-23 13:50:00	23	-888
1170000002	2013-01-23 13:50:00	47	0
1170000005	2013-01-23 13:50:00	46	0
1080000009	2013-01-23 13:50:00	87	-888
1140000002	2013-01-23 13:50:00	55	-888
1180000013	2013-01-23 13:50:00	27	0
1080000018	2013-01-23 13:50:00	56	-888
1460000001	2013-01-23 13:50:00	26	0
1020000011	2013-01-23 13:50:00	15	0
1270000007	2013-01-23 13:50:00	40	0
1220000005	2013-01-23 13:50:00	38	0
1270000013	2013-01-23 13:50:00	43	-888
1140000009	2013-01-23 13:50:00	46	-888
1150000005	2013-01-23 13:50:00	37	0
1260000005	2013-01-23 13:50:00	37	0
1180000010	2013-01-23 13:50:00	35	0
1140000010	2013-01-23 13:50:00	47	-888
1070000016	2013-01-23 13:50:00	242	-888
1220000009	2013-01-23 13:50:00	-888	0
1180000009	2013-01-23 13:50:00	41	0
1040000001	2013-01-23 13:50:00	15	0
1380000002	2013-01-23 13:50:00	23	-888
1170000006	2013-01-23 13:50:00	44	0
1140000001	2013-01-23 13:50:00	42	0
1140000012	2013-01-23 13:50:00	39	-888
1180000008	2013-01-23 13:50:00	-999	-999
1070000006	2013-01-23 13:50:00	4962	-888
1020000022	2013-01-23 13:50:00	14	-888
1180000021	2013-01-23 13:50:00	48	0
1270000009	2013-01-23 13:50:00	34	-888
1320000007	2013-01-23 13:50:00	29	-888
1220000016	2013-01-23 13:50:00	41	0
1140000004	2013-01-23 13:50:00	53	-888
